donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
BAKERVIEW MENNONITE BRETHREN CHURCH,BC,ABBOTSFORD,17,3,4
BALLET VICTORIA SOCIETY,BC,VICTORIA,1,1,1
BALSAM FOUNDATION,ON,TORONTO,4,7,4
BANCROFT CHRISTIAN SCHOOL SOCIETY,ON,BANCROFT,1,2,1
BANFF CANMORE COMMUNITY FOUNDATION,AB,BANFF,9,2,4
BANFF CENTRE FOR ARTS AND CREATIVITY,AB,BANFF,1,1,1
BANMAN FAMILY FOUNDATION,ON,LONDON,2,5,2
BANNOCKBURN SCHOOL,ON,TORONTO,1,2,1
BANQUE ALIMENTAIRE CENTRALE DE HAWKESBURY,ON,HAWKESBURY,1,2,1
BANQUE D'ALIMENTS SUDBURY FOOD BANK,ON,SUDBURY,4,0,4
BAPTIST GENERAL CONFERENCE IN SASKATCHEWAN INC,SK,SASKATOON,1,0,1
BAPTIST GENERAL CONFERENCE OF CANADA,AB,EDMONTON,3,0,3
BARBARA SCHLIFER COMMEMORATIVE CLINIC,ON,TORONTO,1,0,1
BARBARA TOSCZAK FOUNDATION,BC,VANCOUVER,7,7,4
BARBRA SCHLIFER COMMEMARATIVE CLINIC,ON,TORONTO,1,0,1
BARIC FOUNDATION,BC,COQUITLAM,4,5,4
BARIS CHARITABLE FOUNDATION,BC,SECHELT,1,0,1
BARKMAN CONCRETE FOUNDATION INC.,MB,STEINBACH,2,5,2
BARRHAVEN FELLOWSHIP CHRISTIAN REFORMED CHURCH,ON,NEPEAN,11,3,4
BARRHEAD CHURCH OF GOD,AB,BARRHEAD,1,6,1
BARRHEAD PREGNANCY CARE CENTRE,AB,BARRHEAD,1,1,1
BARRIE COMMUNITY FOUNDATION,ON,BARRIE,4,2,2
BARRY AND LAURIE GREEN FAMILY TRUST,ON,TORONTO,37,7,4
BARRY AND STEPHANIE ZEKELMAN FOUNDATION,ON,WINDSOR,12,6,4
BARTERPAY IT FORWARD FOUNDATION,ON,STONEY CREEK,11,0,4
BASEL HAKKA LUTHERAN CHURCH,BC,VANCOUVER,2,2,2
BASILIAN FATHERS OF TORONTO,ON,TORONTO,8,0,4
BATH ROAD BAPTIST CHURCH,ON,KINGSTON,3,3,3
BATTLE RIVER COMMUNITY FOUNDATION,AB,CAMROSE,24,7,4
BATTLEFORDS UNITED WAY INC.,SK,NORTH BATTLEFORD,2,3,1
BAWLF LUTHERAN CHURCH,AB,BAWLF,5,2,3
BAY COMMUNITY CHURCH,BC,COMOX,2,5,2
BAY PARK BAPTIST CHURCH,SK,SASKATOON,1,3,1
BAY ST. LAWRENCE COMMUNITY CENTRE,NS,ST. MARGARET VILLAGE,1,2,1
BAYERS ROAD UNITED BAPTIST CHURCH,NS,HALIFAX,2,5,2
BAYVIEW AVENUE CHURCH OF CHRIST,ON,TORONTO,2,2,2
BAYVIEW UNITED CHURCH,ON,TORONTO,1,7,1
BC & ALBERTA GUIDE DOGS,AB,CALGARY,1,0,1
BC ASSOCIATION OF PREGNANCY OUTREACH PROGRAMS,BC,KAMLOOPS,1,5,1
BC CANCER FOUNDATION,BC,VANCOUVER,2,1,2
BC GOVERNMENT EMPLOYEES COMMUNITY SERVICES FUND TRUST,BC,VICTORIA,245,2,4
BC WOMEN'S HEALTH FOUNDATION,BC,VANCOUVER,1,7,1
BCM INTERNATIONAL CANADA INC.,ON,HAMILTON,1,2,1
BCM International Canada Inc,ON,Hamilton,1,2,1
BDMJ FAMILY FOUNDATION,ON,TORONTO,3,2,3
BE A GEM FOUNDATION,ON,WINDSOR,4,7,3
BE'AD AMEINU,QC,MONTREAL,3,6,3
BEALIGHT FOUNDATION,ON,TORONTO,22,5,4
BEAMSVILLE CHURCH OF CHRIST,ON,BEAMSVILLE,4,2,4
BEARSPAW CHRISTIAN SCHOOL SOCIETY,AB,CALGARY,1,1,1
BEATTY FAMILY CHARITABLE FOUNDATION INC.,ON,BROCKVILLE,2,7,2
BEAUSEJOUR PASTORAL CHARGE,MB,BEAUSEJOUR,3,2,2
BEAUTIFUL PLAINS COMMUNITY FOUNDATION INC,MB,NEEPAWA,1,7,1
BEAUTIFUL SAVIOR LUTHERAN CHURCH INC.,MB,WINNIPEG,4,5,3
BEAVERBROOK ART GALLERY,NB,FREDERICTON,3,1,3
BEAVERLODGE ALLIANCE CHURCH OF THE CHRISTIAN & MISSIONARY ALLIANCE,AB,BEAVERLODGE,1,5,1
BEAVERLODGE CHILD DEVELOPMENT SOCIETY,AB,BEAVERLODGE,4,4,4
BECKWITH BAPTIST CHURCH,ON,CARLETON PLACE,4,4,4
BEDDINGTON PENTECOSTAL CHURCH,AB,CALGARY,3,2,3
BEDFORD BAPTIST CHURCH,NS,BEDFORD,2,5,2
BEECH FOUNDATION,BC,VANCOUVER,7,2,4
BEEDIE FOUNDATION,BC,VANCOUVER,9,3,3
BEEDIE LUMINARIES FOUNDATION,BC,VANCOUVER,4,1,2
BELCUM FOUNDATION,BC,VANCOUVER,3,5,2
BELIEVERS FELLOWSHIP,ON,SIOUX NARROWS,1,5,1
BELLEISLE CREEK BAPTIST CHURCH,NB,BELLEISLE CREEK,3,4,3
BELLEVILLE FIRE FIGHTERS ASSOCIATION BENEVOLENT FUND,ON,BELLEVILLE,1,0,1
BELLEVILLE WESLEYAN CHURCH,ON,BELLEVILLE,3,0,3
BELLS CORNERS UNITED CHURCH (2),ON,NEPEAN,1,4,1
BELMONT SCHOLARSHIP SOCIETY,BC,VICTORIA,1,7,1
BELZBERG FAMILY FOUNDATION,BC,VANCOUVER,14,5,3
BENEVOLENT COMMITTEE OF LA CROIX DE SECOURS ARMENIENNE INC,QC,MONTREAL,1,0,1
BENEVOLENT SOCIETY OF GRIMSBY AND DISTRICT,ON,GRIMSBY,8,7,4
BENGOUGH CHURCH OF CHRIST,SK,BENGOUGH,4,1,4
BENTON STREET BAPTIST CHURCH,ON,KITCHENER,4,5,4
BEREAN BAPTIST CHURCH,ON,SUDBURY,2,3,2
BEREAVED FAMILIES OF ONTARIO-CORNWALL,ON,CORNWALL,1,0,1
BERGEN MISSIONARY CHURCH FELLOWSHIP,AB,SUNDRE,3,2,3
BERGFELD MENNONITE CHURCH,MB,ALTONA,8,1,4
BERGTHALER MENNONITE CHURCH INC.,SK,WARMAN,4,2,4
BERKHOLD FAMILY FOUNDATION,AB,CALGARY,5,7,3
BERNARD & NORTON WOLF FAMILY FOUNDATION,ON,TORONTO,11,2,4
BERTRAND GERSTEIN FAMILY FOUNDATION,ON,TORONTO,1,2,1
BESSIE BORDEN PERPETUITY TRUST,ON,TORONTO,3,7,3
BESSIN FAMILY FOUNDATION,ON,NORTH YORK,15,1,3
BETH EMETH BAIS YEHUDA SYNAGOGUE,ON,NORTH YORK,1,3,1
BETH HAMEDRASH L'HORAAH,QC,MONTREAL,3,0,3
BETH SHOLOM SYNAGOGUE,ON,TORONTO,1,3,1
BETH TIKVAH SYNAGOGUE,ON,TORONTO,8,3,4
BETH TZEDEC CONGREGATION,ON,TORONTO,13,5,4
BETHANY CHRISTIAN REFORMED CHURCH IN FENWICK,ON,FENWICK,6,5,4
BETHANY CHRISTIAN REFORMED CHURCH OF BLOOMFIELD,ON,BLOOMFIELD,8,3,4
BETHANY COMMUNITY CHURCH OF ST. CATHARINES,ON,ST CATHARINES,3,3,3
BETHANY EVANGELICAL LUTHERAN CHURCH OF CAMPBELL RIVER. BRITISH COLUMBIA,BC,CAMPBELL RIVER,1,2,1
BETHANY GOSPEL CHAPEL OF REGINA,SK,REGINA,1,6,1
BETHANY LUTHERAN CHURCH,AB,DONALDA,1,2,1
"BETHANY MENNONITE CHURCH,",SK,CODETTE,3,3,3
BETHANY MISSIONARY CHURCH,ON,KITCHENER,1,3,1
BETHEL BAPTIST CHURCH,AB,HIGH PRAIRIE,3,4,3
BETHEL BAPTIST CHURCH,ON,STRATHROY,2,5,2
BETHEL BAPTIST CHURCH OF FERGUS,ON,FERGUS,2,2,2
"BETHEL BAPTIST CHURCH, ST. CATHARINES",ON,ST. CATHARINES,1,2,1
BETHEL BERGTHALER MENNONITE CHURCH,MB,WINKLER,4,5,2
BETHEL BIBLE CHURCH,ON,SEAFORTH,1,2,1
BETHEL CANADIAN REFORMED CHURCH OF TORONTO,ON,AURORA,2,0,2
BETHEL CHINESE CHRISTIAN MENNONITE BRETHERN CHURCH,BC,VANCOUVER,9,3,4
BETHEL CHRISTIAN ASSEMBLY,MB,BRANDON,4,0,4
BETHEL CHRISTIAN REFORMED CHURCH,AB,LACOMBE,15,5,4
BETHEL CHRISTIAN REFORMED CHURCH,ON,BROCKVILLE,4,2,4
BETHEL CHRISTIAN REFORMED CHURCH,ON,WATERDOWN,12,4,4
BETHEL CHRISTIAN REFORMED CHURCH,SK,SASKATOON,8,2,4
BETHEL CHRISTIAN REFORMED CHURCH OF ACTON ONT,ON,ACTON,4,0,4
BETHEL CHRISTIAN REFORMED CHURCH OF DUNNVILLE,ON,DUNNVILLE,11,3,4
BETHEL CHRISTIAN REFORMED CHURCH OF EDMONTON,AB,EDMONTON,5,7,4
BETHEL CHRISTIAN REFORMED CHURCH OF LISTOWEL,ON,LISTOWEL,9,0,3
BETHEL CHRISTIAN REFORMED CHURCH OF LONDON,ON,LONDON,3,3,3
BETHEL CHRISTIAN REFORMED CHURCH OF NEWMARKET,ON,NEWMARKET,12,3,4
BETHEL COMMUNITY CHURCH,ON,MARLBANK,4,1,4
BETHEL EVANGELICAL MISSIONARY CHURCH,AB,HANNA,4,2,4
BETHEL EVANGELICAL MISSIONARY CHURCH,ON,NEW DUNDEE,4,3,4
BETHEL EVANGELICAL MISSIONARY CHURCH (LINDSAY),ON,LINDSAY,6,3,3
BETHEL FREE REFORMED CHURCH,AB,MONARCH,4,4,4
BETHEL GOSPEL CHAPEL,ON,NORTH BAY,1,2,1
BETHEL GOSPEL TABERNACLE (HAMILTON) INCORPORATED,ON,HAMILTON,4,5,4
BETHEL LUTHERAN CHURCH,AB,SHERWOOD PARK,5,2,3
BETHEL LUTHERAN CHURCH,ON,KITCHENER,1,2,1
BETHEL MENNONITE CHURCH INC.,MB,WINNIPEG,10,5,4
BETHEL PENTECOSTAL ASSEMBLIES OF GOD,AB,SEXSMITH,4,0,4
BETHEL PENTECOSTAL CHURCH,AB,BARRHEAD,1,5,1
BETHEL PENTECOSTAL CHURCH,ON,KALADAR,4,1,4
BETHEL PENTECOSTAL CHURCH,ON,SMITHS FALLS,3,1,3
BETHEL PENTECOSTAL CHURCH (STRATFORD),ON,STRATFORD,1,2,1
BETHEL PENTECOSTAL CHURCH OF OTTAWA,ON,NEPEAN,2,5,2
BETHEL PENTECOSTAL TABERNACLE,AB,EDSON,3,2,3
BETHEL REFORMED CHURCH,ON,BRANTFORD,1,4,1
"BETHEL REFORMED CHURCH OF SMITHERS,B.C.",BC,SMITHERS,1,5,1
BETHEL UNITED REFORMED CHURCH OF AYLMER,ON,SPRINGFIELD,24,3,4
BETHEL UNITED REFORMED CHURCH OF CALGARY,AB,CALGARY,8,3,4
BETHESDA BAPTIST CHURCH,ON,DELHI,4,3,3
BETHESDA LUTHERAN CHURCH,AB,NEW NORWAY,2,2,2
BETHLEHEM CHRISTIAN REFORMED CHURCH,ON,THUNDER BAY,2,2,2
BETHLEHEM EVANGELICAL LUTHERAN CHURCH OF OUTLOOK,SK,OUTLOOK,4,4,4
BETHLEHEM LUTHERAN CHURCH,BC,VANCOUVER,3,2,3
BETHLEHEM LUTHERAN CHURCH,SK,HAWARDEN,3,2,3
BEULAH ALLIANCE CHURCH OF EDMONTON,AB,EDMONTON,1,6,1
BEZANSON COMMUNITY CHURCH,AB,BEZANSON,4,4,4
BHAVSAGAR SIKH TEMPLE SOCIETY FOR OLIVER & OSOYOOS,BC,OLIVER,3,7,3
BIBLE CENTERED MINISTRIES INTERNATIONAL CANADA INC,ON,HAMILTON,1,2,1
BIBLE CENTERED MINISTRIES INTERNATIONAL CANADA INC.,ON,HAMILTON,1,2,1
BIBLE FELLOWSHIP MISSIONARY SOCIETY OF CANADA,BC,SURREY,3,3,2
BIBLE TRUTH SOCIETY OF CANADA,BC,KAMLOOPS,1,5,1
BIBLIOTHEQUE DE MONTREAL-OUEST POUR LES JEUNES,QC,MONTREAL WEST,1,2,1
BIERBRIER FAMILY FOUNDATION,ON,NORTH YORK,13,3,3
BIG BROTHERS BIG SISTERS OF CANADA-LES GRANDS FRERES GRANDS SOEURS DU CANADA,ON,TORONTO,18,1,4
BIG BROTHERS BIG SISTERS SOCIETY OF CALGARY AND AREA,AB,CALGARY,1,0,1
BIG BROTHERS BIG SISTERS SOCIETY OF CALGARY AND AREA,AB,Calgary,1,0,1
BIG BROTHERS BIG SISTERS SOCIETY OF CALGARY AND AREA (FORMERLY AUNTS AND UNCLES AT LARGE),AB,CALGARY,1,3,1
BIG BROTHERS BIG SISTERS SOCIIETY OF CALGARY AND AREA,AB,CLAGARY,1,0,1
BIG GRASS COMMUNITY FOUNDATION INC.,MB,GLADSTONE,10,3,4
BIG HEARTED MAVERICKS FOUNDATION,AB,CALGARY,3,3,3
BILL AND VICKY BLAIR FOUNDATION,ON,MISSISSAUGA,7,7,4
BILL PRANKARD EVANGELISTIC ASSOCIATION,ON,OTTAWA,1,1,1
BINAH CHARITABLE FOUNDATION,ON,TORONTO,24,6,4
BIOREGIONAL EDUCATION ASSOCIATION,BC,VICTORIA,3,2,3
BIRCHBAY FOUNDATION,AB,CALGARY,1,7,1
BIRD STUDIES CANADA/ETUDES D'OISEAUX CANADA,ON,PORT ROWAN,3,1,3
BISHOP ALEXANDER CARTER FOUNDATION,ON,SUDBURY,8,7,3
BISHOP ANDREW ROBORECKI FOUNDATION INC,SK,SASKATOON,2,6,2
BISHOP PINKHAM PARENTS' ASSOCIATION,AB,CALGARY,3,7,3
BISHOPS COLLEGE SCHOOL FOUNDATION,QC,SHERBROOKE,4,7,4
BLACK CREEK COMMUNITY CHURCH,BC,BLACK CREEK,3,3,3
BLACK'S HARBOUR WESLEYAN CHURCH,NB,BLACKS HARBOUR,1,5,1
BLADDER CANCER CANADA,ON,TORONTO,3,1,3
BLAINE LAKE GOSPEL CHAPEL,SK,BLAINE LAKE,5,2,4
BLENHEIM CHRISTIAN REFORMED CHURCH,ON,CHATHAM,4,5,4
BLENHEIM FOUNDATION,BC,VANCOUVER,1,5,1
BLESSINGS BAPTIST CHURCH,BC,COQUITLAM,1,4,1
BLESSINGS CHRISTIAN CHURCH,ON,HAMILTON,5,0,3
BLOSSOM FOUNDATION,ON,TORONTO,2,4,1
BLUE MOUNTAIN BAPTIST CHURCH,BC,COQUITLAM,2,0,2
BLUE PLANET LINKS,BC,VANCOUVER,1,2,1
BLUE SEA PHILANTHROPY INC.,ON,KITCHENER,5,6,3
BLYTH CHRISTIAN REFORMED CHURCH,ON,BELGRAVE,6,3,3
BLYTH CHRISTIAN REFORMED CHURCH,ON,WINGHAM,2,3,1
BNOS BAIS YAAKOV HIGH SCHOOL,ON,TORONTO,1,2,1
BNOS CHAYA,ON,NORTH YORK,3,5,2
BNOS CHAYA,ON,TORONTO,3,2,1
BNOT JERUSALEM KINDERGARTEN AND GIRLS' SCHOOL BNOT JÉRUSALEM GARDERIE ET ÉCOLE POUR JEUNES FILLES,QC,MONTREAL,1,5,1
BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN,SK,REGINA,1,4,1
BOARDWALK CHARITABLE TRUST FUND,AB,CALGARY,4,6,4
BOB AND PEGGY SAVAGE FOUNDATION,ON,HAMILTON,6,4,4
BOISSEVAIN/MORTON DONOR'S CHOICE,MB,BOISSEVAIN,4,0,4
BOLAND FOUNDATION,ON,TORONTO,4,7,3
BONNYVILLE FELLOWSHIP ALLIANCE CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCE IN CANADA,AB,BONNYVILLE,1,2,1
BONNYVILLE SEVENTH-DAY ADVENTIST CHURCH,AB,LACOMBE,1,7,1
BONS DÉJEUNERS D'ARGENTEUIL INC.,QC,LACHUTE,1,7,1
BOOKS OVER BORDERS LIVRES TRANSFRONTIÈRES,BC,VANCOUVER,16,6,3
BORDEN UNITED CHURCH,SK,BORDEN,1,4,1
BOSA PROPERTIES CHARITABLE FOUNDATION,BC,VANCOUVER,2,3,1
BOSTON PIZZA FOUNDATION,BC,RICHMOND,71,7,4
BOULDER FOUNDATION,BC,VANCOUVER,2,7,2
BOURASSA FAMILY FOUNDATION INC,SK,SASKATOON,4,0,4
BOW RIVER BASIN COUNCIL SOCIETY,AB,CALGARY,3,0,3
BOW VALLEY CHRISTIAN CHURCH,AB,CALGARY,4,3,4
BOW VALLEY NATURALISTS SOCIETY,AB,BANFF,1,5,1
BOWEN ISLAND COMMUNITY FOUNDATION,BC,BOWEN ISLAND,14,2,4
BOYLE STREET COMMUNITY SERVICES,AB,EDMONTON,2,0,2
BOYLE-MCCAULEY HEALTH CENTRE,AB,EDMONTON,1,0,1
BOYS & GIRLS CLUB OF CROWSNEST PASS,AB,BLAIRMORE,1,1,1
BOYS AND GIRLS CLUBS FOUNDATION OF SOUTH COAST BC,BC,VANCOUVER,1,6,1
BOYS AND GIRLS CLUBS OF ALBERTA,AB,EDMONTON,8,2,2
BRACEBRIDGE UNITED CHURCH,ON,BRACEBRIDGE,1,2,1
BRAMALEA BAPTIST CHURCH,ON,BRAMPTON,8,3,4
BRAMPTON AND CALEDON COMMUNITY FOUNDATION,ON,BRAMPTON,2,5,1
BRAMPTON AND CALEDON COMMUNITY FOUNDATION,ON,CALEDON EAST,11,7,3
BRAMPTON AND REGIONAL ISLAMIC CENTRE (BARIC),ON,BRAMPTON,2,0,2
BRANCH OUT NEUROLOGICAL FOUNDATION,AB,CALGARY,1,7,1
BRANDON FLOCK FOUNDATION,AB,CALGARY,3,4,2
BRANDON MCC COMMUNITY ASSISTANCE CENTRE INC,MB,BRANDON,2,4,2
BRANDON UNIVERSITY FOUNDATION,MB,BRANDON,3,7,3
BRANDT FOUNDATION INC,MB,ROSENORT,4,5,4
BRANT COMMUNITY FOUNDATION,ON,BRANTFORD,7,2,1
BRANT COUNTY (ONTARIO) CHRISTADELPHIAN ECCLESIA,ON,BRANTFORD,4,0,4
BRANT UNITED WAY,ON,BRANTFORD,2,3,2
BRANTFORD CHRISTADELPHIAN ECCLESIA,ON,BRANTFORD,2,0,2
BREAKFAST PROGRAM ASSOCIATION OF FAIRVIEW,NS,HALIFAX,1,7,1
BREAST CANCER SOCIETY OF CANADA/LA SOCIETE DU CANCER DU SEIN DU CANADA,ON,SARNIA,2,1,2
BRENTVIEW BAPTIST CHURCH,AB,CALGARY,3,4,3
BRENTWOOD COLLEGE FOUNDATION,BC,MILL BAY,3,7,3
BRESLAU MENNONITE CHURCH,ON,BRESLAU,1,7,1
BRESLAU MISSIONARY CHURCH,ON,BRESLAU,4,3,2
BRIAN KLIEWER FAMILY MEMORIAL FOUNDATION INC,MB,STEINBACH,4,5,4
BRIAN TODD MEMORIAL COMMUNITY FUND,ON,BRIGHTON,1,2,1
BRICE TIAMUH MEMORIAL CHARITY FOUNDATION,ON,OTTAWA,1,7,1
BRIDGES FAMILY MEMORIAL FOUNDATION,BC,VANCOUVER,1,7,1
BRIDGETOWN BAPTIST CHURCH,NS,BRIDGETOWN,7,7,4
BRIDGEWATER BAPTIST CHURCH,NS,BRIDGEWATER,8,5,4
BRIDGEWATER OPEN BIBLE CHURCH,NS,BRIDGEWATER,4,4,4
BRIDGEWAY COMMUNITY CHURCH MENNONITE BRETHREN,SK,SWIFT CURRENT,3,2,2
BRIDGEWAY FOUNDATION,ON,ST GEORGE BRANT,15,4,4
BRIDGING WATERS PASTORAL CHARGE,SK,NIPAWIN,4,3,4
BRIERCREST COLLEGE AND SEMINARY,SK,CARONPORT,3,5,3
BRITISH COLUMBIA CHRISTIAN ACADEMY SOCIETY,BC,PORT COQUITLAM,2,1,2
BRITISH COLUMBIA COURTHOUSE LIBRARY SOCIETY,BC,VANCOUVER,2,1,2
BRITISH COLUMBIA FOUNDATION FOR NON ANIMAL RESEARCH,BC,VANCOUVER,1,2,1
BRITISH COLUMBIA GUIDE DOG SERVICES,BC,DELTA,1,0,1
BRITISH COLUMBIA HOCKEY HALL OF FAME SOCIETY,BC,PENTICTON,1,1,1
BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY FOUNDATION,BC,BURNABY,4,7,4
BRITISH COLUMBIA MASONIC FOUNDATION,BC,VANCOUVER,3,4,2
BRITISH COLUMBIA REHABILITATION FOUNDATION,BC,VANCOUVER,2,0,2
BRITISH COLUMBIA SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN CANADA,BC,NEW WESTMINSTER,4,3,4
BRITISH COLUMBIA/YUKON COMMAND OF THE ROYAL CANADIAN LEGION FOUNDATION,BC,SURREY,4,2,2
BROADFOOT FAMILY FOUNDATION,AB,CALGARY,1,7,1
BROADWAY MENNONITE BRETHREN CHURCH,BC,CHILLIWACK,3,5,3
BROADWAY PENTECOSTAL CHURCH,BC,VANCOUVER,3,5,3
BROCKWAY UNION CHURCH,NB,HARVEY YORK CO,4,1,3
BROKENHEAD RIVER COMMUNITY FOUNDATION INC,MB,BEAUSEJOUR,2,2,2
BROOKE AND TRACEY WADE FOUNDATION,BC,VANCOUVER,4,2,3
BROOKFIELD PARTNERS FOUNDATION,ON,TORONTO,16,7,3
BROOKLIN VILLAGE CHURCH,ON,WHITBY,3,7,3
BROOKS UNITED CHURCH,AB,BROOKS,4,3,3
BROOKSWOOD BAPTIST CHURCH,BC,LANGLEY,4,0,4
BRUCE COUNTY CONSERVATIONISTS,ON,PORT ELGIN,2,7,2
BUCHAN INTERNATIONAL FUND,ON,TORONTO,1,7,1
BUCHANAN FAMILY FOUNDATION,AB,HIGH PRAIRIE,1,3,1
BUDDHIST COMPASSION RELIEF TZU CHI FOUNDATION OF CANADA,BC,VANCOUVER,21,7,3
BUDDHIST EDUCATION FOUNDATION FOR CANADA,ON,MARKHAM,3,7,3
BUDDHIST WOMEN'S SANGHA OF ONTARIO,ON,PETERBOROUGH,2,1,2
BUKKYO DENDO KYOKAI CANADA,ON,MISSISSAUGA,1,7,1
BULKLEY VALLEY COMMUNITY FOUNDATION,BC,SMITHERS,6,1,4
BULKLEY VALLEY HEALTH CARE AND HOSPITAL FOUNDATION,BC,SMITHERS,1,2,1
BURDETT CHRISTIAN REFORMED CHURCH,AB,BURDETT,8,1,4
BURLINGTON COMMUNITY FOUNDATION,ON,BURLINGTON,23,2,4
BURLINGTON PARENTAL CHRISTIAN SCHOOL SOCIETY,ON,BURLINGTON,3,2,3
BURLINGTON PUBLIC LIBRARY,ON,BURLINGTON,2,3,1
BURLINGTON UNITED PENTECOSTAL CHURCH,ON,BURLINGTON,4,1,4
BURNABY ALLIANCE CHURCH,BC,BURNABY,7,3,4
BURNABY CHINESE EVANGELICAL FREE CHURCH,BC,BURNABY,8,2,4
BURNABY FIRE FIGHTERS CHARITABLE SOCIETY,BC,BURNABY,2,4,2
BURNABY PACIFIC GRACE CHURCH,BC,BURNABY,4,3,4
BURNS BOG CONSERVATION FOUNDATION,BC,DELTA,1,1,1
BURNS LAKE COMMUNITY CHURCH,BC,BURNS LAKE,5,4,3
BUTTERFIELD FAMILY FOUNDATION,ON,TORONTO,28,2,2
BUTTERFLY OF HOPE,ON,HAMILTON,1,0,1
BUTTERLEY FAMILY FOUNDATION INC,BC,SURREY,7,7,4
BVG FOUNDATION INC,ON,NORTH YORK,2,7,2
BVLD AIRSHED MANAGEMENT SOCIETY,BC,SMITHERS,2,1,2
BYRAM FAMILY FOUNDATION,AB,CANMORE,2,7,2
BYS EDUCATIONAL CENTRE,ON,NORTH YORK,2,7,2
Bailie Family Foundation,AB,CALGARY,2,2,1
Bardo Lutheran Church of Tofield,AB,TOFIELD,4,2,4
Basil Dobbin Family Foundation Inc.,NL,ST. JOHN'S,3,2,2
Bay Tree Foundation,ON,TORONTO,5,4,1
Bayshore Foundation for Empowered Living,ON,MISSISSAUGA,3,0,3
Be in Christ Church of Canada,ON,COLLINGWOOD,1,7,1
Bearspaw Christian School Foundation,AB,CALGARY,5,7,4
Beatrice Stevens Memorial Foundation Inc.,AB,EDMONTON,1,1,1
Belbeck-Fukakusa Family Foundation,ON,TORONTO,5,7,3
Belsize Foundation,ON,TORONTO,1,4,1
Belz Community Center,QC,MONTREAL,1,0,1
Benefit Campaign-Children's Wish Foundation,ON,Windsor,1,5,1
Berkshire Hathaway Energy Canada Foundation,AB,CALGARY,3,7,2
Bernhard Melitz Foundation,AB,LETHBRIDGE,12,1,4
Bethany Care Foundation,AB,Calgary,1,0,1
Bethel Gospel Chapel of Wanham,AB,WANHAM,2,4,2
Bethel Pentecostal Church,ON,WALLACEBURG,4,2,4
Bethel Pentecostal Church of Dawson Creek Society,BC,DAWSON CREEK,1,5,1
Betty Lou Cowper Charitable Trust,ON,TORONTO,2,7,2
Beutel goodman charitable foundation,ON,TORONTO,5,2,3
Bhalwani Family Charitable Foundation,ON,TORONTO,11,7,4
Bishop's University Foundation,QC,SHERBROOKE,3,7,3
Black Family Foundation,NS,HALIFAX,21,2,4
Blackfalds Pentecostal Church,AB,BLACKFALDS,3,5,3
Blackfalds Pentecostal Church,AB,LACOMBE COUNTY,1,5,1
Blue Sky Properties Charitable Foundation,BC,VANCOUVER,5,3,3
Bonavista Evangelical Missionary Church Fellowship,AB,CALGARY,4,2,4
Boys and Girls Clubs of Canada/Les repaires jeunesse du Canada,ON,TORONTO,81,2,4
Boys' and Girls' Club of Summerside Foundation Inc.,PE,SUMMERSIDE,3,4,3
Brain Foundation,QC,Montreal,1,0,1
Brampton Evangelical Missionary Church,ON,BRAMPTON,4,3,4
Breaved Families of Ontario,ON,Hamilton,1,0,1
Brewer Foundation,NB,FREDERICTON,5,5,4
Brian And Alida Rossy Family Foundation,QC,MOUNT ROYAL,4,7,3
Brian Bronfman family foundation/ Fondation de la famille Brian Bronfman,QC,MONTRÉAL,40,2,4
British Columbia Guide Dog Services,BC,Delta,1,0,1
Broad View United,BC,VICTORIA,1,2,1
Brodrum Family Foundation,QC,WESTMOUNT,1,7,1
Brookside Baptist Church,ON,KANATA,4,5,4
Brunswick Street Baptist Church Ltd.,NB,FREDERICTON,8,5,4
Burnbrae Farms Foundation,ON,LYN,6,3,4
Burtts Corner Christian Church Inc.,NB,BURTTS CORNER,4,2,4
Butler Family Foundation,AB,EDMONTON,21,7,3
C&J EKONG CHARITABLE FOUNDATION INC.,SK,REGINA,2,2,2
C-FAX SANTA'S ANONYMOUS SOCIETY,BC,VICTORIA,8,7,4
C. H. STILLER MEMORIAL FOUNDATION INCORPORATED,ON,LONDON,1,0,1
C.B. POWELL FOUNDATION,ON,MISSISSAUGA,14,2,4
C.D.HOWE INSTITUTE,ON,TORONTO,1,0,1
C.F.U.W. - SUDBURY CHARITABLE TRUST,ON,ALBAN,2,7,2
C.L. BURTON TRUST - ST. MICHAEL'S COLLEGE,BC,VANCOUVER,3,7,3
C.M. HARDING FOUNDATION,ON,TORONTO,4,5,2
C.P. LOEWEN FAMILY FOUNDATION INC.,MB,STEINBACH,5,0,3
C.R.R.S. CULTURE REGENERATION RESEARCH SOCIETY,BC,BURNABY,3,4,3
C3 CHURCH 416 INC.,ON,TORONTO,5,4,3
CACGST - CANADIAN ASSOCIATION OF CHINA GRADUATE SCHOOL OF THEOLOGY,ON,MARKHAM,1,3,1
CAHILL FAMILY FOUNDATION,NL,ST. JOHN'S,1,5,1
CAHOOTS THEATRE PROJECTS,ON,TORONTO,1,0,1
CAJOLE INN FOUNDATION,ON,OTTAWA,7,3,3
CAL WENZEL FAMILY FOUNDATION,AB,CALGARY,3,7,3
